Volgnr.;Naam;h;b;tw;tf;Wel;Wpl;Wel-z;Wpl-z;A;r;Iy;Izwakke as;kN/m;id_1;Naam_1;Volgnr_1
107;HEB 320 corrosie 50 jr.;318.8;298.8;10.3;19.3;1816030;2015732;575217;876282;15065;27;289474782;85937367;11.826;2;;107
108;HEB 320 corrosie 100 jr.;317.6;297.6;9.1;18.1;1703241;1880205;535080;814243;13979;27;270474611;79619876;10.973;3;;108
109;HEB 340;340;300;12;21.5;2160000;2408000;646000;986000;17090;27;366600000;96900000;1.342;1;HEB 340;109
110;HEB 340 corrosie 50 jr.;338.8;298.8;10.8;20.3;2037403;2264199;605041;922348;15997;27;345135989;90393053;12.557;2;;110
111;HEB 340 corrosie 100 jr.;337.6;297.6;9.6;19.1;1916068;2118130;564655;859760;14888;27;323432302;84020630;11.687;3;;111
112;HEB 360;360;300;12.5;22.5;2400000;2682000;676000;1032000;18060;27;431900000;101400000;1.418;1;HEB 360;112
113;HEB 360 corrosie 50 jr.;358.8;298.8;11.3;21.3;2272220;2528453;634871;968548;16947;27;407636186;94849748;16.947;2;;113
114;HEB 360 corrosie 100 jr.;357.6;297.6;10.1;20.1;2142189;2371611;594235;905400;15814;27;383023488;88422239;15.841;3;;114
115;HEB 400;400;300;13.5;24;2880000;3232000;721000;1104000;19780;27;576800000;108200000;1.553;1;HEB 400;115
116;HEB 400 corrosie 50 jr.;398.8;298.8;12.3;22.8;2738627;3055096;679676;1039097;18615;27;546082283;101543590;18.615;2;;116
117;HEB 400 corrosie 100 jr.;397.6;297.6;11.1;21.6;2590325;2875850;638656;974969;17435;27;514956697;95032052;13.687;3;;117
118;HEB 450;450;300;14;26;3550000;3982000;781000;1198000;21800;27;798900000;117200000;1.711;1;HEB 450;118
119;HEB 450 corrosie 50 jr.;448.8;298.8;12.8;24.8;3381748;3776666;739324;1131532;20575;27;758864174;110455019;16.151;2;;119
120;HEB 450 corrosie 100 jr.;447.6;297.6;11.6;23.6;2925017;3267798;697804;866168;17920;27;654618895;75535303;14.067;3;;120
121;HEB 500;500;300;14.5;28;4290000;4814000;842000;1292000;23860;27;1072000000;126200000;1.873;1;HEB 500;121
122;HEB 500 corrosie 50 jr.;498.8;298.8;13.3;26.8;4093837;4578329;798934;1223864;22582;27;1019709645;119369052;17.704;2;;122
123;HEB 500 corrosie 100 jr.;497.6;297.6;12.1;25.6;3897022;4338752;756967;1157846;21284;27;969579097;112636715;16.708;3;;123
124;HEB 550;550;300;15;29;4970000;5590000;872000;1342000;25410;27;1366999900;130800000;1.994;1;HEB 550;124
125;HEB 550 corrosie 50 jr.;548.8;298.8;13.8;27.8;4751180;5322042;828917;1272906;24064;27;1303723777;123840165;18.891;2;;125
126;HEB 550 corrosie 100 jr.;547.6;297.6;12.6;26.6;4527767;5049748;786627;1205574;22707;27;1239702418;117050063;17.825;3;;126
127;HEB 600;600;300;15.5;30;5700000;6426000;902000;1392000;27000;27;1710000000;135300000;2.119;1;HEB 600;127
128;HEB 600 corrosie 50 jr.;598.8;298.8;14.3;28.8;5454792;6122768;858865;1321890;25595;27;1633164565;128314426;20.092;2;;128
129;HEB 600 corrosie 100 jr.;597.6;297.6;13.1;27.6;5203805;5816289;816305;1253665;24178;27;1554897004;121466176;1.898;3;;129
130;HEB 650;650;300;16;31;6480000;7320000;932000;1442000;28630;27;2106000000;139800000;2.248;1;HEB 650;130
131;HEB 650 corrosie 50 jr.;648.8;298.8;14.8;29.8;6205763;6982242;888837;1371290;27174;27;2013149611;132792259;21.331;2;;131
132;HEB 650 corrosie 100 jr.;647.6;297.6;13.6;28.6;5926230;6640105;846003;1302139;25697;27;1918913044;125885319;20.172;3;;132
133;HEB 700;700;300;17;32;7340000;8328000;963000;1496000;30640;27;2568999900;144400000;2.405;1;HEB 700;133
134;HEB 700 corrosie 50 jr.;698.8;298.8;15.8;30.8;7036039;7952941;918994;1423759;29119;27;2458392081;137297642;22.858;2;;134
135;HEB 700 corrosie 100 jr.;697.6;297.6;14.6;29.6;6727214;7573866;875864;1353465;27584;27;2346452319;130328495;21.653;3;;135
136;HEB 800;800;300;17.5;33;8980000;10228000;994000;1554000;33400;30;3591000000;149000000;2.623;1;HEB 800;136
137;HEB 800 corrosie 50 jr.;798.8;298.8;16.3;31.8;8612831;9777784;949534;1480333;31784;30;3439964688;141860370;2.495;2;;137
138;HEB 800 corrosie 100 jr.;797.6;297.6;15.1;30.6;8241161;9319597;906077;1408480;30129;30;3286574868;134824313;23.651;3;;138
139;HEB 900;900;300;18.5;35;10980000;12584000;1054000;1658000;37100;30;4941000000;158200000;2.915;1;HEB 900;139
140;HEB 900 corrosie 50 jr.;898.8;298.8;17.3;33.8;10550133;12049607;1009761;1583371;35375;30;4741229581;150858238;27.769;2;;140
141;HEB 900 corrosie 100 jr.;897.6;297.6;16.1;32.6;10112646;11506862;965725;1509409;33601;30;4538555243;143699888;26.377;3;;141
