Volgnr.;Naam;h;b;tw;tf;Wel;Wpl;Wel-z;Wpl-z;A;r;Iy;Izwakke as;kN/m;id_1;Naam_1;Volgnr_1
193;UNP 260;260;90;10;14;371000;442400;;;4830;;48230000;;0.379;;;193
194;UNP 260 corrosie 50 jr.;258.8;88.8;8.8;12.8;336272;398204;;;4323;;43513621;;0.3394;;;194
195;UNP 260 corrosie 100 jr.;257.6;87.6;7.6;11.6;301402;354216;;;3819;;38820621;;0.2998;;;195
196;Dubbel UNP 260;260;180;20;14;742000;884800;;;9660;;96460000;;0.758;1;Dubbel UNP 260;196
197;Dubbel UNP 260 corrosie 50 jr.;258.8;178.8;18.8;12.8;672544;796408;;;8646;;87027242;;0.6788;2;;197
198;Dubbel UNP 260 corrosie 100 jr.;257.6;177.6;17.6;11.6;602804;708432;;;7638;;77641242;;0.5996;3;;198
199;UNP 280;280;95;10;15;448000;531800;;;5340;;62740000;;0.419;;;199
200;UNP 280 corrosie 50 jr.;278.8;93.8;8.8;13.8;408297;481172;;;4801;;56916635;;0.3769;;;200
201;UNP 280 corrosie 100 jr.;277.6;92.6;7.6;12.6;368241;430586;;;4262;;51111871;;0.3346;;;201
202;Dubbel UNP 280;280;190;20;15;896000;1063600;;;10680;;125480000;;0.838;1;Dubbel UNP 280;202
203;Dubbel UNP 280 corrosie 50 jr.;278.8;188.8;18.8;13.8;816594;962344;;;9602;;113833270;;0.7538;2;;203
204;Dubbel UNP 280 corrosie 100 jr.;277.6;187.6;17.6;12.6;736482;861172;;;8524;;102223742;;0.6692;3;;204
205;UNP 300;300;100;10;16;535000;632200;;;5880;;80260000;;0.461;;;205
206;UNP 300 corrosie 50 jr.;298.8;98.8;8.8;14.8;489680;574534;;;5300;;73158235;;0.4161;;;206
207;UNP 300 corrosie 100 jr.;297.6;97.6;7.6;13.6;444080;516890;;;4725;;66079158;;0.3709;;;207
208;Dubbel UNP 300;300;200;20;16;1070000;1264400;;;11760;;160520000;;0.922;1;Dubbel UNP 300;208
209;Dubbel UNP 300 corrosie 50 jr.;298.8;198.8;18.8;14.8;979360;1149068;;;10600;;146316470;;0.8322;2;;209
