HEA 100	96	100	5	8	72800	83000	26760	41140	2124	12	3490000	1338000	0,1667	1	45
HEA 100 corrosie 50 jr.	94,8	98,8	3,8	6,8	62436	70210,1	22202,7	34072	1780	12	2959468	1096810	0,1397	2	41,4
HEA 100 corrosie 100 jr.	93,6	97,6	2,6	5,6	51914	57411	17840	27324	1435	12	2429578	870611	0,1126	3	37,8
HEA 120	114	120	5	8	106300	119400	38500	58860	2534	12	6060000	2309000	0,1989	1	45
HEA 120 corrosie 50 jr.	112,8	118,8	3,8	6,8	91034	100951	32055	48933	2120	12	5134344	190411	0,1664	2	41,4
HEA 120 corrosie 100 jr.	111,6	117,6	2,6	5,6	75452	82406	25864	39406	1706	12	4210265	152086	0,1339	3	37,8
HEA 140	133	140	5,5	8,5	155400	173400	55600	84800	3142	12	10330000	3890000	0,2466	1	46,5
HEA 140 corrosie 50 jr.	131,8	138,8	4,3	7,3	134096	148032	46944	71482	2658	12	8836939	325792	0,2086	2	42,9
HEA 140 corrosie 100 jr.	130,6	137,6	3,1	6,1	112497	122559	38546	58577	2173	12	7346062	265202	0,1706	3	39,3
HEA 160  	152	160	6	9	220100	245200	76900	117600	3880	15	16730000	6160000	0,3044	1	54
HEA 160 corrosie 50 jr.	150,8	158,8	4,8	7,8	192140	211837	65686	100284	3325	15	14487355	521554	0,261	2	50,4
HEA 160 corrosie 100 jr.	149,6	157,6	3,6	6,6	163652	178384	54739	83444	2770	15	12241170	431349	0,2175	3	46,8
HEA 180	171	180	6	9,5	293600	324800	102700	156400	4530	15	25100000	9250000	0,355	1	55
HEA 180 corrosie 50 jr.	169,8	178,8	4,8	8,3	257677	282405	88558	134713	3903	15	21876747	7917142	0,3063	2	51,4
HEA 180 corrosie 100 jr.	168,6	177,6	3,6	7,1	221170	239788	74735	113511	3277	15	18644616	6636504	0,2572	3	47,8
HEA 200	190	200	6,5	10	389000	429400	133600	203800	5380	18	36920000	13360000	0,423	1	62,5
HEA 200 corrosie 50 jr.	188,8	198,8	5,3	8,8	344145	377097	116117	177030	4693	18	32487331	11542052	0,3684	2	58,9
HEA 200 corrosie 100 jr.	187,6	197,6	4,1	7,6	298821	324316	99070	150860	3997	18	28029445	9788190	0,3138	3	55,3
HEA 220	210	220	7	11	515000	568400	177700	270600	6430	18	54100000	19550000	0,505	1	65
HEA 220 corrosie 50 jr.	208,8	218,8	5,8	9,8	460883	504552	156575	238177	5672	18	48116219	17129300	0,4453	2	61,4
HEA 220 corrosie 100 jr.	207,6	217,6	4,6	8,6	405640	440205	135890	206445	4905	18	42105463	14784800	0,3851	3	57,8
HEA 240 	230	240	7,5	12	675000	744000	230700	351600	7680	21	77630000	27690000	0,603	1	73,5
HEA 240 corrosie 50 jr. 	228,8	238,8	6,3	10,8	610315	668404	205587	313087	6854	21	69819991	24547100	0,538	2	69,9
HEA 240 corrosie 100 jr. 	227,6	237,6	5,1	9,6	544331	591413	180902	275193	6015	21	61944819	21491200	0,4722	3	66,3
HEA 260	250	260	7,5	12,5	836000	920000	282100	430200	8680	24	104600000	36680000	0,682	1	80,5
HEA 260 corrosie 50 jr.	248,8	258,8	6,3	11,3	759904	829993	252695	385055	7784	24	94532019	32698800	0,611	2	76,9
HEA 260 corrosie 100 jr.	247,6	257,6	5,1	10,1	681751	739007	223763	340668	6873	24	84400731	28820700	0,5395	3	73,3
HEA 280	270	280	8	13	1013000	1112000	340000	518200	9730	24	136700000	47630000	0,764	1	82
HEA 280 corrosie 50 jr.	268,8	278,8	6,8	11,8	932347	1022420	306205	467104	8757	24	125307403	42684900	0,7066	2	78,4
HEA 280 corrosie 100 jr.	267,6	277,6	5,6	10,6	831749	901234	272641	414569	7775	24	111287985	37842500	0,6103	3	74,8
HEA 300	290	300	8,5	14	1260000	1384000	421000	642000	11250	27	182600000	63100000	0,883	1	90,5
HEA 300 corrosie 50 jr.	288,8	298,8	7,3	12,8	1153817	1262940	356473	543618	10187	27	162158917	56999584	0,7818	2	86,9
HEA 300 corrosie 100 jr.	287,6	297,6	6,1	11,6	1051630	1140710	342973	522071	9162	27	151225082	51034400	0,7192	3	83,3
HEA 320	310	300	9	15,5	1479000	1628000	466000	710000	12440	27	229300000	69850000	0,976	1	94
HEA 320 corrosie 50 jr.	308,8	298,8	7,8	14,3	1368700	1497840	426203	649102	11376	27	211328001	63674700	0,893	2	90,4
HEA 320 corrosie 100 jr.	307,6	297,6	6,6	13,1	1255680	1365570	387288	589261	10299	27	193123372	57628400	0,8085	3	86,8
HEA 340	330	300	9,5	16,5	1678000	1850000	496000	756000	13350	27	276900000	74360000	1,048	1	96,5
HEA 340 corrosie 50 jr.	328,8	298,8	8,3	15,3	1559450	1709920	456006	694778	12263	27	256372847	68127300	0,9627	2	92,9
HEA 340 corrosie 100 jr.	327,6	297,6	7,1	14,1	1437920	1567190	416845	634414	11163	27	235531446	62026500	0,8763	3	89,3
HEA 360	350	300	10	17,5	1891000	2088000	526000	802000	14280	27	330900000	78870000	1,121	1	99
HEA 360 corrosie 50 jr.	348,8	298,8	8,8	16,3	1763410	1937390	485814	740566	13168	27	307538312	72580600	1,0337	2	95,4
HEA 360 corrosie 100 jr.	347,6	297,6	7,6	15,1	1633240	1783980	446406	679669	12045	27	283856559	66425200	0,9455	3	91,8
HEA 400	390	300	11	19	2311000	2562000	571000	872000	15900	27	450700000	85640000	1,248	1	103
HEA 400 corrosie 50 jr.	388,8	298,8	9,8	17,8	2166000	2388790	530566	810208	14715	27	421052924	79266630	1,1574	2	99,4
HEA 400 corrosie 100 jr.	387,6	297,6	8,6	16,6	2017550	2213160	490782	748385	13573	27	391000811	73028300	1,0655	3	95,8
HEA 450	440	300	11,5	21	2896000	3216000	631000	966000	17800	27	637200000	94650000	1,398	1	107,5
HEA 450 corrosie 50 jr.	438,8	298,8	10,3	19,8	2727787	3014030	590169	901758	16589	27	598476517	88171300	1,3023	2	103,9
HEA 450 corrosie 100 jr.	437,6	297,6	9,1	18,6	2555760	2809200	549891	838848	15359	27	559200055	81823800	1,2057	3	100,3
HEA 500	490	300	12	23	3550000	3948000	691000	1058000	19750	27	869800000	103700000	1,551	1	112
HEA 500 corrosie 50 jr.	488,8	298,8	10,8	21,8	3357062	3716715	649785	993595	18481	27	820466000	97077808	1,4507	2	108,4
HEA 500 corrosie 100 jr.	487,6	297,6	9,6	20,6	3160400	3481220	609010	929571	17192	27	770505363	90620800	1,3495	3	104,8
HEA 550	540	300	12,5	24	4146000	4622000	721000	1106000	21180	27	1118999900	108200000	1,662	1	114,5
HEA 550 corrosie 50 jr.	538,8	298,8	11,3	22,8	3926586	4357576	679654	1041160	19843	27	1057822348	101540354	1,5577	2	110,9
HEA 550 corrosie 100 jr.	537,6	297,6	10,1	21,6	3703410	4089590	638620	976339	18495	27	995475227	95026700	1,4518	3	107,3
HEA 600	590	300	13	25	4787000	5350000	751000	1156000	22650	27	1412000000	112700000	1,778	1	117
HEA 600 corrosie 50 jr.	588,8	298,8	11,8	23,8	4540568	5052570	709539	1089060	21254	27	1336743139	106005142	1,6684	2	113,4
HEA 600 corrosie 100 jr.	587,6	297,6	10,6	22,6	4335160	4824180	668406	1026740	20388	27	1273670195	99458900	1,6005	3	109,8
HEA 650	640	300	13,5	26	5474000	6136000	782000	1204000	24160	27	1752000000	117200000	1,897	1	119,5
HEA 650 corrosie 50 jr.	638,8	298,8	12,3	24,8	5200108	5803432	739441	1137300	22713	27	1660914535	110472549	1,7829	2	115,9
HEA 650 corrosie 100 jr.	637,6	297,6	11,1	23,6	4920980	5466060	697881	1070800	21245	27	1568809032	103845000	1,6677	3	112,3
HEA 700	690	300	14,5	27	6241000	7032000	812000	1256000	26050	27	2152999900	121800000	2,045	1	122,5
